source_path,git_blob,owner,disposition,replacement_phase,removal_gate
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/AuthenticationControllerImpl.java,5179e902441ad933832df9bef5965256c6dddbdf,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/BlockerControllerImpl.java,47a8b9601d208531d01589401e30f6d5cba2cad9,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ConfigurationBackupControllerImpl.java,72b674c33c6645fd37c0fe036a3b361b2145de02,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ConnectionCheckControllerImpl.java,fe938c5acf95d9383f89bc562ec384bd8dfa10df,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ControlBarControllerImpl.java,244c39813a33897a8ddcbbc546db559c59785655,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/CustomDomainFilterConfigControllerImpl.java,ad8468494b6bf51e09368c58e1a240f2360af924,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/CustomerInfoControllerImpl.java,a2de2f2357f0c95e5a08aab8fc96aa7544748dda,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DashboardCardControllerImpl.java,ebe40fdeb05f53167d5fa53dfcf43d28959cd1cf,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DeviceControllerImpl.java,36584683b780af29dfca0ef5826086cf5519f375,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DeviceRegistrationControllerImpl.java,f817147b8ab1c80cf0a0229e7ae5d582c5ea321d,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DnsControllerImpl.java,28dc0e06b3ad2b1b2f0ea891f23976dbb366429f,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DoctorControllerImpl.java,bc175248231753f254105e0c12a7df87f7e0c64a,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DomainRecorderControllerImpl.java,ed2128e7e42163982d87256539122a394fce8575,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/DomainWhiteListControllerImpl.java,c1ace51e987683b2ed280e140c1321702913a3cc,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/EventControllerImpl.java,85ce739a92dde1c81de12e7508b0adb13087fe5e,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/FactoryResetControllerImpl.java,e201e2df46df9189a56ab7d15830455f676e7468,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/FeatureControllerImpl.java,e25f35500570eec87650224a40c2d1c370a6ebc0,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/FeatureToggleControllerImpl.java,388d86361751ab2dd36021321a292635be7e9c05,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/FilterControllerImpl.java,d207484d998498115fdae864859f64981eabfe6c,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/FilterStatisticsControllerImpl.java,c6a4939cbad5696c3e8e36f5483cff18abbf6b00,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/LanguageControllerImpl.java,352062748dffbcb2c761bb2aa66f116535ce99f3,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/MessageCenterControllerImpl.java,237ba73a9486e5331d261c2386b812b6ed126c82,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/MobileConnectionCheckControllerImpl.java,fb34d807c746d70b07876c40bc25f7516fca4503,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/MobileDnsCheckControllerImpl.java,a904114bbd4bce4516336e43d1bd57d681861c3b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/NetworkControllerImpl.java,30e9d5820eea6d46f133ff58ad6b81514f6b3d28,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/OpenVpnControllerImpl.java,4a9bdc97c8011213c1a2f3358deb1bbea35302d4,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/OpenVpnServerControllerImpl.java,fb2b8b643397c86646df6bfa96c27117a6dbc2f7,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/PageContextControllerImpl.java,399ae79bd619ca094cda53a7fd8fb2fc8bc480ff,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ParentalControlControllerImpl.java,d866dcf8ecb239773ef571c601d36a99a70cd2bf,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ParentalControlFilterListsControllerImpl.java,fea8ecaa829816c71b87faece5f60ecb39ea63d6,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ProductMigrationControllerImpl.java,87ce3d8b6656486b7016fd12a94628ad9934754b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/RecordingControllerImpl.java,01f90a61ac4c6549bb6c096f5b36463f7544e3f9,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/RedirectControllerImpl.java,6488921aa3ddb0b00aaecd344e51e12be89f2126,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/ReminderControllerImpl.java,719f594fa0185e384bad6476551f15e2dc06df81,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/SSLControllerImpl.java,d41d613b258cc62b6f92d5bdf6b31732efd8d4bf,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/SettingsControllerImpl.java,cf89802c8805ad57e17177b1a43875616ab513c2,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/SetupWizardControllerImpl.java,9580e2fa6cdb95b0c2153b6ef837e09d62bec5f1,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/SplashControllerImpl.java,90a509a5cc1a97040d7953e9a9c60ed058b919d1,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/TasksControllerImpl.java,3611b9e699c5291d99f25752828a9da64eb81529,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/TimestampControllerImpl.java,cfbd9feb8e530ae4f2bac9a39ef4dc5029b02172,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/TimezoneControllerImpl.java,f5820c4f5ac08edbd37f9e2edd873b7faec0bf9d,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/TosControllerImpl.java,6b44046a322f3395c9dc24efa30b2a38937fbe20,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/TransactionRecorderControllerImpl.java,1b7909ef75c3629c2f2c85526aeb003e4aef3ed7,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/UpdateControllerImpl.java,25083a1f4b69af30b7c174fd49734359ed9f12a6,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/UserAgentControllerImpl.java,df784c125fd6beefaf9d8c54d6ffdacf263ff883,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/impl/UserControllerImpl.java,117ee98de71d8cf4c28492886934b6b0847a44d8,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/wrapper/ControllerWrapper.java,a0fea956119aed673eaea29e84b35f8896437d6b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/controller/wrapper/ControllerWrapperFactory.java,c2b3e5b27d0ecf90f6cc45a51298426a0c3903eb,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/exceptions/restexpress/ServiceNotAvailableServiceException.java,b928558bfb255d501746addf32e6fbfeb89301f9,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/model/CredentialsDTO.java,cdaa8018dd69e446be2efb7cc5a107a4a385b7fd,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/model/CustomDomainFilterConfig.java,7bbcfa647e32bef5960e46b66a764c8fe9bafb14,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/model/DeviceDTO.java,9048469be80d6c3248d8909570fad1e8fe1c6357,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/model/SslWhitelistEntryDto.java,f06e699c37ca4a265f812335dca7624af8357b19,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/model/WhatIfModeDTO.java,6433ddcdf88f488d967793e70ffafd83ddc1aba4,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/AppContext.java,fa565e72caa51a5c38076e0266f6d6ba582414df,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/Credentials.java,9b68abf6735dff2d2cad4ffce1d395a3b1f44e6c,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/DashboardAuthorizationProcessor.java,127f01d391860484eca755e38fb04d4d846092da,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/JsonWebToken.java,b56e496da3edc1c8a9694ff91f849c87b2a5905f,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/JsonWebTokenHandler.java,84bd1133f713f2ada3361b1753d3cddfd6dbf52a,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/PasswordResetToken.java,df6b44b2e1486b2676d89546ea494ebde4b3c3d0,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/PasswordUtil.java,977861746a661df3db852fcb7e87ea9ef622be17,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/SecurityProcessor.java,f7dc4aa22d10bf1ecee1e0b3edf1854e59ba6055,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/SecurityService.java,d4311e50c3431c5e699c1599e41338b310963a20,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/security/TokenInfo.java,963acb963c9a48ab7a49302b13b10a49db176e3e,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/CacheControlPostProcessor.java,c8f17960ca95784ed1084dffe2c8e6dc29fe4cf2,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/EblockerHttpsServer.java,68049164497343046131a2c284b8077816e64496,eblocker-icapserver,transport retained; route declarations extracted,R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/ExceptionLogger.java,c5306cab572cec475579f1541f2b57e57f59446f,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/HttpTransactionIdentifier.java,d6992dfd319e7629a30edc8b4fcc3c2ebc36c337,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/SSLContextHandler.java,1331eaed0bb5f2cea79dabb7164412f09aafd1da,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/SessionContextController.java,4da95af8a7f0118259158473a6408bcbd17cd31e,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/server/StaticFileController.java,b8d23db53fd940a3d04c3161539602bfa4de0141,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/AccessDeniedRequestHandler.java,4eb4cdaeb20a6397662f7d242def4c6b44746e7c,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/AccessDeniedService.java,c7ed8ad4bfd0fb2f3171a77428ba6956ea5dec95,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/AddAttributeHandler.java,c36714f289af0e9072bd5249374212100c718f80,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/AnonymousService.java,8a83945ee7d83114dd40d929fbf4bb4fdd382de3,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/AppModuleService.java,54d2308f0c80edc5ac943c448f6346d963d8b160,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/AutoTrustAppService.java,5db6b64fa43c7228656441b208c74fd3d39a4947,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ConfigurationBackupService.java,725972473f52c3a583b73fcb4a8de8281df5a645,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/CustomDomainFilterConfigService.java,37ea870006000199119234739e60f91ff5cbac7d,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/CustomerInfoService.java,f3f06d7819f286dd6bdeba983e9accb096063b3b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DashboardCardService.java,84ddf38be1bc0e78c86ccddc14fa4a4646801dd0,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DashboardService.java,95f911be0beab4c9b3181f9a9283cf722622f102,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DevicePermissionsService.java,918db69b2ad5e336f37c4cfc85dfbc188934978f,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DeviceScanningService.java,cd302a7675f926820c28abbce86ae56e4d710b8a,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DeviceService.java,4489c93867c0d2913ad4ddac87965ec830357d4d,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DiagnosticsReportService.java,ff3ad34698571eabd676422916e172739fcd3a03,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DiskMountService.java,372aef942ea73657997463045cd5302cf914cf91,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DnsService.java,fb19eb9064453931c09df0b10a79c97cc67f0f33,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DnsStatisticsService.java,c3a963bddbdefd95b6bd18628c5d7d96358fd0d1,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DoctorService.java,c591d0f8aaf4a6bdaaad8a96e89d8a028db65791,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/DynDnsService.java,6241e3de102d767843a6097a6a22b9d0ebcfaef5,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/EventService.java,2ecb3b10a196c7ca38da28b0f465c53a74b1ec6b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/FailedConnectionSuggestionService.java,46f593b40128e0e36bb38b46466aeb87cadf568b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/FileSystemWatchService.java,aa171d83993e0fdecedde3bb8fa1fdafe7e30b3d,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/HttpTransactionContext.java,c3dc5ba63ca97cbee11e52fa9b38bf2c9a54543f,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/HttpTransactionIdentifier.java,3e66212f06227946cee894e6c38085d3a5331eb5,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/MessageCenterService.java,15daa70bb888f41559f29fcf7ffd35cc6a575d02,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/OpenVpnServerService.java,fb59d0ddef503a6aa068b7afa043e9367659fdb9,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ParentalControlAccessRestrictionsService.java,27c851323a605e59d9f4403f2b4c7aadf7b69438,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ParentalControlEnforcerService.java,c48d624d7aa70db2e902684f7e8ca85eaa9d2e1b,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ParentalControlFilterListsService.java,14a53eff0c11f19778eb41fb349eb2b965b08081,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ParentalControlSearchEngineConfigService.java,543079b7400dafa4cf60f9f6e60764d815cbc8f7,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ParentalControlService.java,a2afb4f474650c3da4302d23eb3f57847fe1baf3,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ParentalControlUsageService.java,182b455f5e5c85ee064e72d4129cb937c00c3bb6,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
eblocker-icapserver/src/main/java/org/eblocker/server/http/service/ProductInfoService.java,3f5a323028af2dd5325e43661afa9299990662e8,eblocker-icapserver,"retain until replacement parity; inventoried, not semantically certified",R8 feature migration,contract + feature + upgrade tests; no deletion before evidence
